Extraversion,Number of textees,Hours of sleep,Handedness,Pant leg,Sleep position
7,7,8,Right-handed,Left leg in first,On your left side
7,8,8,Right-handed,Left leg in first,On your left side
6,10,8,Right-handed,Left leg in first,On your left side
7,10,8,Right-handed,Left leg in first,On your left side
8,10,8,Right-handed,Left leg in first,On your left side
6,13,8,Right-handed,Left leg in first,On your left side
9,15,8,Right-handed,Left leg in first,On your left side
10,18,8,Right-handed,Left leg in first,On your left side
6,20,8,Right-handed,Left leg in first,On your left side
6,25,8,Right-handed,Left leg in first,On your left side
7,20,8.5,Right-handed,Left leg in first,On your left side
5,2,9,Right-handed,Left leg in first,On your left side
2,4,9,Right-handed,Left leg in first,On your left side
6,4,9,Right-handed,Left leg in first,On your left side
7,5,9,Right-handed,Left leg in first,On your left side
9,5,9,Right-handed,Left leg in first,On your left side
8,6,9,Right-handed,Left leg in first,On your left side
3,8,9,Right-handed,Left leg in first,On your left side
9,10,9,Right-handed,Left leg in first,On your left side
8,15,9,Right-handed,Left leg in first,On your left side
7,7,10,Right-handed,Left leg in first,On your left side
4,4,5,Left-handed,Right leg in first,On your left side
8,2,6,Left-handed,Right leg in first,On your left side
6,0,7,Left-handed,Right leg in first,On your left side
3,2,7,Left-handed,Right leg in first,On your left side
4,3,7,Left-handed,Right leg in first,On your left side
8,3,7,Left-handed,Right leg in first,On your left side
8,4,7,Left-handed,Right leg in first,On your left side
7,5,7,Left-handed,Right leg in first,On your left side
7,5,7,Left-handed,Right leg in first,On your left side
5,8,7,Left-handed,Right leg in first,On your left side
5,5,8,Left-handed,Right leg in first,On your left side
9,8,8,Left-handed,Right leg in first,On your left side
7,12,8,Left-handed,Right leg in first,On your left side
3,2,4,Right-handed,Right leg in first,On your left side
7,6,4,Right-handed,Right leg in first,On your left side
8,2,5,Right-handed,Right leg in first,On your left side
6,3,5,Right-handed,Right leg in first,On your left side
3,4,5,Right-handed,Right leg in first,On your left side
8,6,5,Right-handed,Right leg in first,On your left side
4,10,5,Right-handed,Right leg in first,On your left side
7,10,5,Right-handed,Right leg in first,On your left side
7,11,5,Right-handed,Right leg in first,On your left side
2,15,5,Right-handed,Right leg in first,On your left side
6,15,5,Right-handed,Right leg in first,On your left side
4,2,6,Right-handed,Right leg in first,On your left side
4,2,6,Right-handed,Right leg in first,On your left side
4,2,6,Right-handed,Right leg in first,On your left side
4,2,6,Right-handed,Right leg in first,On your left side
5,2,6,Right-handed,Right leg in first,On your left side
3,3,6,Right-handed,Right leg in first,On your left side
4,3,6,Right-handed,Right leg in first,On your left side
6,3,6,Right-handed,Right leg in first,On your left side
7,3,6,Right-handed,Right leg in first,On your left side
8,3,6,Right-handed,Right leg in first,On your left side
3,4,6,Right-handed,Right leg in first,On your left side
7,4,6,Right-handed,Right leg in first,On your left side
8,4,6,Right-handed,Right leg in first,On your left side
3,5,6,Right-handed,Right leg in first,On your left side
4,5,6,Right-handed,Right leg in first,On your left side
4,5,6,Right-handed,Right leg in first,On your left side
5,5,6,Right-handed,Right leg in first,On your left side
6,5,6,Right-handed,Right leg in first,On your left side
7,5,6,Right-handed,Right leg in first,On your left side
8,5,6,Right-handed,Right leg in first,On your left side
3,6,6,Right-handed,Right leg in first,On your left side
4,6,6,Right-handed,Right leg in first,On your left side
5,6,6,Right-handed,Right leg in first,On your left side
7,6,6,Right-handed,Right leg in first,On your left side
4,7,6,Right-handed,Right leg in first,On your left side
8,7,6,Right-handed,Right leg in first,On your left side
2,8,6,Right-handed,Right leg in first,On your left side
5,8,6,Right-handed,Right leg in first,On your left side
7,8,6,Right-handed,Right leg in first,On your left side
8,8,6,Right-handed,Right leg in first,On your left side
3,10,6,Right-handed,Right leg in first,On your left side
7,10,6,Right-handed,Right leg in first,On your left side
7,10,6,Right-handed,Right leg in first,On your left side
7,10,6,Right-handed,Right leg in first,On your left side
7,10,6,Right-handed,Right leg in first,On your left side
8,10,6,Right-handed,Right leg in first,On your left side
8,10,6,Right-handed,Right leg in first,On your left side
8,13,6,Right-handed,Right leg in first,On your left side
3,15,6,Right-handed,Right leg in first,On your left side
4,15,6,Right-handed,Right leg in first,On your left side
4,15,6,Right-handed,Right leg in first,On your left side
8,15,6,Right-handed,Right leg in first,On your left side
8,15,6,Right-handed,Right leg in first,On your left side
5,18,6,Right-handed,Right leg in first,On your left side
9,20,6,Right-handed,Right leg in first,On your left side
4,25,6,Right-handed,Right leg in first,On your left side
5,25,6,Right-handed,Right leg in first,On your left side
4,27,6,Right-handed,Right leg in first,On your left side
5,40,6,Right-handed,Right leg in first,On your left side
8,3,6.5,Right-handed,Right leg in first,On your left side
7,5,6.5,Right-handed,Right leg in first,On your left side
6,7,6.5,Right-handed,Right leg in first,On your left side
7,10,6.5,Right-handed,Right leg in first,On your left side
5,2,7,Right-handed,Right leg in first,On your left side
5,2,7,Right-handed,Right leg in first,On your left side
6,2,7,Right-handed,Right leg in first,On your left side
7,2,7,Right-handed,Right leg in first,On your left side
7,2,7,Right-handed,Right leg in first,On your left side
8,2,7,Right-handed,Right leg in first,On your left side
8,2,7,Right-handed,Right leg in first,On your left side
8,2,7,Right-handed,Right leg in first,On your left side
2,3,7,Right-handed,Right leg in first,On your left side
2,3,7,Right-handed,Right leg in first,On your left side
3,3,7,Right-handed,Right leg in first,On your left side
3,3,7,Right-handed,Right leg in first,On your left side
4,3,7,Right-handed,Right leg in first,On your left side
5,3,7,Right-handed,Right leg in first,On your left side
5,3,7,Right-handed,Right leg in first,On your left side
7,3,7,Right-handed,Right leg in first,On your left side
8,3,7,Right-handed,Right leg in first,On your left side
2,4,7,Right-handed,Right leg in first,On your left side
3,4,7,Right-handed,Right leg in first,On your left side
4,4,7,Right-handed,Right leg in first,On your left side
5,4,7,Right-handed,Right leg in first,On your left side
2,5,7,Right-handed,Right leg in first,On your left side
3,5,7,Right-handed,Right leg in first,On your left side
4,5,7,Right-handed,Right leg in first,On your left side
4,5,7,Right-handed,Right leg in first,On your left side
4,5,7,Right-handed,Right leg in first,On your left side
4,5,7,Right-handed,Right leg in first,On your left side
5,5,7,Right-handed,Right leg in first,On your left side
7,5,7,Right-handed,Right leg in first,On your left side
7,5,7,Right-handed,Right leg in first,On your left side
7,5,7,Right-handed,Right leg in first,On your left side
8,5,7,Right-handed,Right leg in first,On your left side
8,5,7,Right-handed,Right leg in first,On your left side
8,5,7,Right-handed,Right leg in first,On your left side
4,6,7,Right-handed,Right leg in first,On your left side
5,6,7,Right-handed,Right leg in first,On your left side
6,6,7,Right-handed,Right leg in first,On your left side
6,6,7,Right-handed,Right leg in first,On your left side
7,6,7,Right-handed,Right leg in first,On your left side
5,7,7,Right-handed,Right leg in first,On your left side
5,7,7,Right-handed,Right leg in first,On your left side
8,7,7,Right-handed,Right leg in first,On your left side
8,7,7,Right-handed,Right leg in first,On your left side
8,7,7,Right-handed,Right leg in first,On your left side
6,8,7,Right-handed,Right leg in first,On your left side
7,8,7,Right-handed,Right leg in first,On your left side
7,8,7,Right-handed,Right leg in first,On your left side
4,10,7,Right-handed,Right leg in first,On your left side
4,10,7,Right-handed,Right leg in first,On your left side
7,10,7,Right-handed,Right leg in first,On your left side
8,10,7,Right-handed,Right leg in first,On your left side
8,10,7,Right-handed,Right leg in first,On your left side
9,10,7,Right-handed,Right leg in first,On your left side
4,14,7,Right-handed,Right leg in first,On your left side
6,15,7,Right-handed,Right leg in first,On your left side
8,15,7,Right-handed,Right leg in first,On your left side
9,15,7,Right-handed,Right leg in first,On your left side
10,16,7,Right-handed,Right leg in first,On your left side
10,18,7,Right-handed,Right leg in first,On your left side
7,20,7,Right-handed,Right leg in first,On your left side
8,20,7,Right-handed,Right leg in first,On your left side
7,25,7,Right-handed,Right leg in first,On your left side
9,25,7,Right-handed,Right leg in first,On your left side
4,35,7,Right-handed,Right leg in first,On your left side
3,5,7.5,Right-handed,Right leg in first,On your left side
3,5,7.5,Right-handed,Right leg in first,On your left side
9,8,7.5,Right-handed,Right leg in first,On your left side
8,12,7.5,Right-handed,Right leg in first,On your left side
3,1,8,Right-handed,Right leg in first,On your left side
3,2,8,Right-handed,Right leg in first,On your left side
4,2,8,Right-handed,Right leg in first,On your left side
3,3,8,Right-handed,Right leg in first,On your left side
3,3,8,Right-handed,Right leg in first,On your left side
3,3,8,Right-handed,Right leg in first,On your left side
4,3,8,Right-handed,Right leg in first,On your left side
4,3,8,Right-handed,Right leg in first,On your left side
7,3,8,Right-handed,Right leg in first,On your left side
7,3,8,Right-handed,Right leg in first,On your left side
3,4,8,Right-handed,Right leg in first,On your left side
5,4,8,Right-handed,Right leg in first,On your left side
6,4,8,Right-handed,Right leg in first,On your left side
6,4,8,Right-handed,Right leg in first,On your left side
8,4,8,Right-handed,Right leg in first,On your left side
3,5,8,Right-handed,Right leg in first,On your left side
4,5,8,Right-handed,Right leg in first,On your left side
4,5,8,Right-handed,Right leg in first,On your left side
5,5,8,Right-handed,Right leg in first,On your left side
6,5,8,Right-handed,Right leg in first,On your left side
8,5,8,Right-handed,Right leg in first,On your left side
4,6,8,Right-handed,Right leg in first,On your left side
8,6,8,Right-handed,Right leg in first,On your left side
8,6,8,Right-handed,Right leg in first,On your left side
9,6,8,Right-handed,Right leg in first,On your left side
4,7,8,Right-handed,Right leg in first,On your left side
4,7,8,Right-handed,Right leg in first,On your left side
5,7,8,Right-handed,Right leg in first,On your left side
7,8,8,Right-handed,Right leg in first,On your left side
8,8,8,Right-handed,Right leg in first,On your left side
4,10,8,Right-handed,Right leg in first,On your left side
4,10,8,Right-handed,Right leg in first,On your left side
4,10,8,Right-handed,Right leg in first,On your left side
5,10,8,Right-handed,Right leg in first,On your left side
5,10,8,Right-handed,Right leg in first,On your left side
6,10,8,Right-handed,Right leg in first,On your left side
7,10,8,Right-handed,Right leg in first,On your left side
7,10,8,Right-handed,Right leg in first,On your left side
7,10,8,Right-handed,Right leg in first,On your left side
9,10,8,Right-handed,Right leg in first,On your left side
7,15,8,Right-handed,Right leg in first,On your left side
9,20,8,Right-handed,Right leg in first,On your left side
4,4,8.5,Right-handed,Right leg in first,On your left side
7,3,9,Right-handed,Right leg in first,On your left side
8,3,9,Right-handed,Right leg in first,On your left side
3,4,9,Right-handed,Right leg in first,On your left side
5,5,9,Right-handed,Right leg in first,On your left side
7,7,9,Right-handed,Right leg in first,On your left side
7,10,9,Right-handed,Right leg in first,On your left side
5,20,9,Right-handed,Right leg in first,On your left side
3,5,8,Both,I don't know,On your right side
8,4,5,Left-handed,I don't know,On your right side
4,2,8,Left-handed,I don't know,On your right side
4,4,5,Right-handed,I don't know,On your right side
6,4,5,Right-handed,I don't know,On your right side
5,5,5,Right-handed,I don't know,On your right side
3,8,5,Right-handed,I don't know,On your right side
9,10,5,Right-handed,I don't know,On your right side
3,3,5.5,Right-handed,I don't know,On your right side
1,2,6,Right-handed,I don't know,On your right side
3,2,6,Right-handed,I don't know,On your right side
5,2,6,Right-handed,I don't know,On your right side
7,3,6,Right-handed,I don't know,On your right side
3,5,6,Right-handed,I don't know,On your right side
5,5,6,Right-handed,I don't know,On your right side
7,6,6,Right-handed,I don't know,On your right side
4,10,6,Right-handed,I don't know,On your right side
7,6,6.5,Right-handed,I don't know,On your right side
3,10,6.5,Right-handed,I don't know,On your right side
7,10,6.5,Right-handed,I don't know,On your right side
2,0,7,Right-handed,I don't know,On your right side
2,2,7,Right-handed,I don't know,On your right side
1,3,7,Right-handed,I don't know,On your right side
6,3,7,Right-handed,I don't know,On your right side
6,3,7,Right-handed,I don't know,On your right side
7,3,7,Right-handed,I don't know,On your right side
4,4,7,Right-handed,I don't know,On your right side
2,5,7,Right-handed,I don't know,On your right side
4,5,7,Right-handed,I don't know,On your right side
4,5,7,Right-handed,I don't know,On your right side
5,5,7,Right-handed,I don't know,On your right side
5,5,7,Right-handed,I don't know,On your right side
10,6,7,Right-handed,I don't know,On your right side
6,8,7,Right-handed,I don't know,On your right side
8,8,7,Right-handed,I don't know,On your right side
7,10,7,Right-handed,I don't know,On your right side
8,10,7,Right-handed,I don't know,On your right side
8,10,7,Right-handed,I don't know,On your right side
8,10,7,Right-handed,I don't know,On your right side
7,16,7,Right-handed,I don't know,On your right side
5,20,7,Right-handed,I don't know,On your right side
8,20,7,Right-handed,I don't know,On your right side
8,11,7.5,Right-handed,I don't know,On your right side
4,5,8,Right-handed,I don't know,On your right side
5,5,8,Right-handed,I don't know,On your right side
8,5,8,Right-handed,I don't know,On your right side
8,7,8,Right-handed,I don't know,On your right side
6,8,8,Right-handed,I don't know,On your right side
4,10,8,Right-handed,I don't know,On your right side
3,15,8,Right-handed,I don't know,On your right side
7,15,8,Right-handed,I don't know,On your right side
5,20,8,Right-handed,I don't know,On your right side
8,20,8,Right-handed,I don't know,On your right side
7,15,8.5,Right-handed,I don't know,On your right side
6,8,9,Right-handed,I don't know,On your right side
5,3,10,Right-handed,I don't know,On your right side
8,25,10,Right-handed,I don't know,On your right side
10,4,12,Right-handed,I don't know,On your right side
5,5,8,Both,Left leg in first,On your right side
6,10,5,Left-handed,Left leg in first,On your right side
4,10,6.5,Left-handed,Left leg in first,On your right side
6,3,7,Left-handed,Left leg in first,On your right side
2,4,7,Left-handed,Left leg in first,On your right side
4,4,7,Left-handed,Left leg in first,On your right side
7,4,7,Left-handed,Left leg in first,On your right side
3,5,7,Left-handed,Left leg in first,On your right side
4,5,7,Left-handed,Left leg in first,On your right side
7,5,7,Left-handed,Left leg in first,On your right side
4,9,7,Left-handed,Left leg in first,On your right side
4,10,7,Left-handed,Left leg in first,On your right side
7,10,7,Left-handed,Left leg in first,On your right side
6,20,7,Left-handed,Left leg in first,On your right side
7,3,7.5,Left-handed,Left leg in first,On your right side
3,3,8,Left-handed,Left leg in first,On your right side
4,7,8,Left-handed,Left leg in first,On your right side
9,10,8,Left-handed,Left leg in first,On your right side
3,2,9,Left-handed,Left leg in first,On your right side
1,3,5,Right-handed,Left leg in first,On your right side
4,3,5,Right-handed,Left leg in first,On your right side
2,5,5,Right-handed,Left leg in first,On your right side
5,6,5,Right-handed,Left leg in first,On your right side
5,10,5,Right-handed,Left leg in first,On your right side
1,1,6,Right-handed,Left leg in first,On your right side
7,2,6,Right-handed,Left leg in first,On your right side
3,3,6,Right-handed,Left leg in first,On your right side
4,3,6,Right-handed,Left leg in first,On your right side
5,4,6,Right-handed,Left leg in first,On your right side
5,4,6,Right-handed,Left leg in first,On your right side
7,4,6,Right-handed,Left leg in first,On your right side
9,4,6,Right-handed,Left leg in first,On your right side
6,5,6,Right-handed,Left leg in first,On your right side
6,5,6,Right-handed,Left leg in first,On your right side
6,5,6,Right-handed,Left leg in first,On your right side
7,5,6,Right-handed,Left leg in first,On your right side
8,5,6,Right-handed,Left leg in first,On your right side
8,5,6,Right-handed,Left leg in first,On your right side
8,6,6,Right-handed,Left leg in first,On your right side
8,6,6,Right-handed,Left leg in first,On your right side
5,8,6,Right-handed,Left leg in first,On your right side
3,10,6,Right-handed,Left leg in first,On your right side
4,10,6,Right-handed,Left leg in first,On your right side
7,10,6,Right-handed,Left leg in first,On your right side
8,10,6,Right-handed,Left leg in first,On your right side
8,12,6,Right-handed,Left leg in first,On your right side
9,30,6,Right-handed,Left leg in first,On your right side
4,4,6.5,Right-handed,Left leg in first,On your right side
5,5,6.5,Right-handed,Left leg in first,On your right side
9,7,6.5,Right-handed,Left leg in first,On your right side
9,20,6.5,Right-handed,Left leg in first,On your right side
7,0,7,Right-handed,Left leg in first,On your right side
1,1,7,Right-handed,Left leg in first,On your right side
3,2,7,Right-handed,Left leg in first,On your right side
3,2,7,Right-handed,Left leg in first,On your right side
4,2,7,Right-handed,Left leg in first,On your right side
5,2,7,Right-handed,Left leg in first,On your right side
5,2,7,Right-handed,Left leg in first,On your right side
7,2,7,Right-handed,Left leg in first,On your right side
3,3,7,Right-handed,Left leg in first,On your right side
4,3,7,Right-handed,Left leg in first,On your right side
4,3,7,Right-handed,Left leg in first,On your right side
4,3,7,Right-handed,Left leg in first,On your right side
6,3,7,Right-handed,Left leg in first,On your right side
6,3,7,Right-handed,Left leg in first,On your right side
8,3,7,Right-handed,Left leg in first,On your right side
3,4,7,Right-handed,Left leg in first,On your right side
4,4,7,Right-handed,Left leg in first,On your right side
5,4,7,Right-handed,Left leg in first,On your right side
8,4,7,Right-handed,Left leg in first,On your right side
8,4,7,Right-handed,Left leg in first,On your right side
3,5,7,Right-handed,Left leg in first,On your right side
5,5,7,Right-handed,Left leg in first,On your right side
5,5,7,Right-handed,Left leg in first,On your right side
7,5,7,Right-handed,Left leg in first,On your right side
8,5,7,Right-handed,Left leg in first,On your right side
9,5,7,Right-handed,Left leg in first,On your right side
3,6,7,Right-handed,Left leg in first,On your right side
4,6,7,Right-handed,Left leg in first,On your right side
4,6,7,Right-handed,Left leg in first,On your right side
7,6,7,Right-handed,Left leg in first,On your right side
7,6,7,Right-handed,Left leg in first,On your right side
8,7,7,Right-handed,Left leg in first,On your right side
8,7,7,Right-handed,Left leg in first,On your right side
5,8,7,Right-handed,Left leg in first,On your right side
9,8,7,Right-handed,Left leg in first,On your right side
4,10,7,Right-handed,Left leg in first,On your right side
5,10,7,Right-handed,Left leg in first,On your right side
5,10,7,Right-handed,Left leg in first,On your right side
9,11,7,Right-handed,Left leg in first,On your right side
6,15,7,Right-handed,Left leg in first,On your right side
6,15,7,Right-handed,Left leg in first,On your right side
8,15,7,Right-handed,Left leg in first,On your right side
9,15,7,Right-handed,Left leg in first,On your right side
7,17,7,Right-handed,Left leg in first,On your right side
7,20,7,Right-handed,Left leg in first,On your right side
7,3,7.5,Right-handed,Left leg in first,On your right side
7,4,7.5,Right-handed,Left leg in first,On your right side
7,9,7.5,Right-handed,Left leg in first,On your right side
8,10,7.5,Right-handed,Left leg in first,On your right side
2,2,8,Right-handed,Left leg in first,On your right side
3,2,8,Right-handed,Left leg in first,On your right side
4,2,8,Right-handed,Left leg in first,On your right side
5,2,8,Right-handed,Left leg in first,On your right side
9,2,8,Right-handed,Left leg in first,On your right side
4,3,8,Right-handed,Left leg in first,On your right side
7,3,8,Right-handed,Left leg in first,On your right side
8,3,8,Right-handed,Left leg in first,On your right side
3,4,8,Right-handed,Left leg in first,On your right side
7,4,8,Right-handed,Left leg in first,On your right side
2,5,8,Right-handed,Left leg in first,On your right side
4,5,8,Right-handed,Left leg in first,On your right side
5,5,8,Right-handed,Left leg in first,On your right side
7,5,8,Right-handed,Left leg in first,On your right side
7,5,8,Right-handed,Left leg in first,On your right side
7,5,8,Right-handed,Left leg in first,On your right side
8,5,8,Right-handed,Left leg in first,On your right side
9,5,8,Right-handed,Left leg in first,On your right side
1,6,8,Right-handed,Left leg in first,On your right side
4,6,8,Right-handed,Left leg in first,On your right side
4,6,8,Right-handed,Left leg in first,On your right side
5,6,8,Right-handed,Left leg in first,On your right side
6,6,8,Right-handed,Left leg in first,On your right side
8,6,8,Right-handed,Left leg in first,On your right side
8,6,8,Right-handed,Left leg in first,On your right side
5,7,8,Right-handed,Left leg in first,On your right side
3,8,8,Right-handed,Left leg in first,On your right side
4,8,8,Right-handed,Left leg in first,On your right side
4,8,8,Right-handed,Left leg in first,On your right side
6,8,8,Right-handed,Left leg in first,On your right side
6,8,8,Right-handed,Left leg in first,On your right side
10,8,8,Right-handed,Left leg in first,On your right side
6,10,8,Right-handed,Left leg in first,On your right side
6,10,8,Right-handed,Left leg in first,On your right side
8,10,8,Right-handed,Left leg in first,On your right side
10,10,8,Right-handed,Left leg in first,On your right side
7,14,8,Right-handed,Left leg in first,On your right side
7,15,8,Right-handed,Left leg in first,On your right side
7,20,8,Right-handed,Left leg in first,On your right side
8,25,8,Right-handed,Left leg in first,On your right side
8,50,8,Right-handed,Left leg in first,On your right side
9,4,8.5,Right-handed,Left leg in first,On your right side
6,3,9,Right-handed,Left leg in first,On your right side
4,4,9,Right-handed,Left leg in first,On your right side
5,10,9,Right-handed,Left leg in first,On your right side
7,23,9,Right-handed,Left leg in first,On your right side
3,2,10,Right-handed,Left leg in first,On your right side
7,30,10,Right-handed,Left leg in first,On your right side
9,10,6,Both,Right leg in first,On your right side
5,3,7,Both,Right leg in first,On your right side
7,20,7,Both,Right leg in first,On your right side
3,2,8,Both,Right leg in first,On your right side
5,6,8,Both,Right leg in first,On your right side
6,7,5,Left-handed,Right leg in first,On your right side
4,2,6,Left-handed,Right leg in first,On your right side
8,25,6,Left-handed,Right leg in first,On your right side
