Extraversion,Number of textees,Hours of sleep,Handedness,Pant leg,Sleep position
8,5,7,Left-handed,Right leg in first,On your right side
10,5,7,Left-handed,Right leg in first,On your right side
6,9,7,Left-handed,Right leg in first,On your right side
8,12,7,Left-handed,Right leg in first,On your right side
6,4,8,Left-handed,Right leg in first,On your right side
5,8,8,Left-handed,Right leg in first,On your right side
4,10,8,Left-handed,Right leg in first,On your right side
2,3,3,Right-handed,Right leg in first,On your right side
3,4,4,Right-handed,Right leg in first,On your right side
7,5,4.5,Right-handed,Right leg in first,On your right side
8,2,5,Right-handed,Right leg in first,On your right side
9,3,5,Right-handed,Right leg in first,On your right side
6,4,5,Right-handed,Right leg in first,On your right side
9,4,5,Right-handed,Right leg in first,On your right side
3,5,5,Right-handed,Right leg in first,On your right side
3,8,5,Right-handed,Right leg in first,On your right side
4,10,5,Right-handed,Right leg in first,On your right side
7,12,5,Right-handed,Right leg in first,On your right side
9,20,5,Right-handed,Right leg in first,On your right side
10,20,5,Right-handed,Right leg in first,On your right side
2,2,6,Right-handed,Right leg in first,On your right side
7,2,6,Right-handed,Right leg in first,On your right side
7,2,6,Right-handed,Right leg in first,On your right side
1,3,6,Right-handed,Right leg in first,On your right side
3,3,6,Right-handed,Right leg in first,On your right side
6,3,6,Right-handed,Right leg in first,On your right side
7,3,6,Right-handed,Right leg in first,On your right side
7,3,6,Right-handed,Right leg in first,On your right side
7,3,6,Right-handed,Right leg in first,On your right side
7,3,6,Right-handed,Right leg in first,On your right side
7,4,6,Right-handed,Right leg in first,On your right side
8,4,6,Right-handed,Right leg in first,On your right side
9,4,6,Right-handed,Right leg in first,On your right side
3,5,6,Right-handed,Right leg in first,On your right side
3,5,6,Right-handed,Right leg in first,On your right side
4,5,6,Right-handed,Right leg in first,On your right side
6,5,6,Right-handed,Right leg in first,On your right side
6,5,6,Right-handed,Right leg in first,On your right side
7,5,6,Right-handed,Right leg in first,On your right side
7,5,6,Right-handed,Right leg in first,On your right side
7,5,6,Right-handed,Right leg in first,On your right side
9,5,6,Right-handed,Right leg in first,On your right side
4,6,6,Right-handed,Right leg in first,On your right side
5,6,6,Right-handed,Right leg in first,On your right side
5,6,6,Right-handed,Right leg in first,On your right side
3,7,6,Right-handed,Right leg in first,On your right side
3,7,6,Right-handed,Right leg in first,On your right side
3,7,6,Right-handed,Right leg in first,On your right side
4,7,6,Right-handed,Right leg in first,On your right side
5,7,6,Right-handed,Right leg in first,On your right side
6,7,6,Right-handed,Right leg in first,On your right side
7,7,6,Right-handed,Right leg in first,On your right side
8,7,6,Right-handed,Right leg in first,On your right side
3,8,6,Right-handed,Right leg in first,On your right side
7,8,6,Right-handed,Right leg in first,On your right side
8,8,6,Right-handed,Right leg in first,On your right side
5,9,6,Right-handed,Right leg in first,On your right side
5,10,6,Right-handed,Right leg in first,On your right side
5,10,6,Right-handed,Right leg in first,On your right side
5,10,6,Right-handed,Right leg in first,On your right side
7,10,6,Right-handed,Right leg in first,On your right side
8,10,6,Right-handed,Right leg in first,On your right side
8,10,6,Right-handed,Right leg in first,On your right side
9,10,6,Right-handed,Right leg in first,On your right side
9,10,6,Right-handed,Right leg in first,On your right side
7,15,6,Right-handed,Right leg in first,On your right side
7,15,6,Right-handed,Right leg in first,On your right side
10,15,6,Right-handed,Right leg in first,On your right side
8,30,6,Right-handed,Right leg in first,On your right side
3,5,6.5,Right-handed,Right leg in first,On your right side
3,5,6.5,Right-handed,Right leg in first,On your right side
3,10,6.5,Right-handed,Right leg in first,On your right side
7,12,6.5,Right-handed,Right leg in first,On your right side
3,1,7,Right-handed,Right leg in first,On your right side
3,1,7,Right-handed,Right leg in first,On your right side
6,2,7,Right-handed,Right leg in first,On your right side
2,3,7,Right-handed,Right leg in first,On your right side
2,3,7,Right-handed,Right leg in first,On your right side
3,3,7,Right-handed,Right leg in first,On your right side
5,3,7,Right-handed,Right leg in first,On your right side
5,3,7,Right-handed,Right leg in first,On your right side
5,3,7,Right-handed,Right leg in first,On your right side
5,3,7,Right-handed,Right leg in first,On your right side
7,3,7,Right-handed,Right leg in first,On your right side
8,3,7,Right-handed,Right leg in first,On your right side
9,3,7,Right-handed,Right leg in first,On your right side
3,4,7,Right-handed,Right leg in first,On your right side
3,4,7,Right-handed,Right leg in first,On your right side
3,4,7,Right-handed,Right leg in first,On your right side
4,4,7,Right-handed,Right leg in first,On your right side
4,4,7,Right-handed,Right leg in first,On your right side
5,4,7,Right-handed,Right leg in first,On your right side
6,4,7,Right-handed,Right leg in first,On your right side
7,4,7,Right-handed,Right leg in first,On your right side
7,4,7,Right-handed,Right leg in first,On your right side
7,4,7,Right-handed,Right leg in first,On your right side
8,4,7,Right-handed,Right leg in first,On your right side
3,5,7,Right-handed,Right leg in first,On your right side
3,5,7,Right-handed,Right leg in first,On your right side
4,5,7,Right-handed,Right leg in first,On your right side
4,5,7,Right-handed,Right leg in first,On your right side
4,5,7,Right-handed,Right leg in first,On your right side
4,5,7,Right-handed,Right leg in first,On your right side
6,5,7,Right-handed,Right leg in first,On your right side
6,5,7,Right-handed,Right leg in first,On your right side
6,5,7,Right-handed,Right leg in first,On your right side
7,5,7,Right-handed,Right leg in first,On your right side
7,5,7,Right-handed,Right leg in first,On your right side
7,5,7,Right-handed,Right leg in first,On your right side
7,5,7,Right-handed,Right leg in first,On your right side
7,5,7,Right-handed,Right leg in first,On your right side
8,5,7,Right-handed,Right leg in first,On your right side
8,5,7,Right-handed,Right leg in first,On your right side
8,5,7,Right-handed,Right leg in first,On your right side
9,5,7,Right-handed,Right leg in first,On your right side
6,6,7,Right-handed,Right leg in first,On your right side
7,6,7,Right-handed,Right leg in first,On your right side
8,6,7,Right-handed,Right leg in first,On your right side
3,7,7,Right-handed,Right leg in first,On your right side
4,7,7,Right-handed,Right leg in first,On your right side
6,7,7,Right-handed,Right leg in first,On your right side
7,7,7,Right-handed,Right leg in first,On your right side
7,7,7,Right-handed,Right leg in first,On your right side
8,7,7,Right-handed,Right leg in first,On your right side
8,7,7,Right-handed,Right leg in first,On your right side
8,7,7,Right-handed,Right leg in first,On your right side
8,7,7,Right-handed,Right leg in first,On your right side
4,8,7,Right-handed,Right leg in first,On your right side
5,8,7,Right-handed,Right leg in first,On your right side
7,8,7,Right-handed,Right leg in first,On your right side
7,8,7,Right-handed,Right leg in first,On your right side
8,8,7,Right-handed,Right leg in first,On your right side
8,8,7,Right-handed,Right leg in first,On your right side
4,9,7,Right-handed,Right leg in first,On your right side
3,10,7,Right-handed,Right leg in first,On your right side
5,10,7,Right-handed,Right leg in first,On your right side
6,10,7,Right-handed,Right leg in first,On your right side
7,10,7,Right-handed,Right leg in first,On your right side
8,10,7,Right-handed,Right leg in first,On your right side
8,10,7,Right-handed,Right leg in first,On your right side
8,10,7,Right-handed,Right leg in first,On your right side
8,10,7,Right-handed,Right leg in first,On your right side
8,10,7,Right-handed,Right leg in first,On your right side
8,12,7,Right-handed,Right leg in first,On your right side
9,12,7,Right-handed,Right leg in first,On your right side
8,13,7,Right-handed,Right leg in first,On your right side
3,15,7,Right-handed,Right leg in first,On your right side
4,15,7,Right-handed,Right leg in first,On your right side
7,15,7,Right-handed,Right leg in first,On your right side
8,15,7,Right-handed,Right leg in first,On your right side
8,15,7,Right-handed,Right leg in first,On your right side
10,15,7,Right-handed,Right leg in first,On your right side
6,20,7,Right-handed,Right leg in first,On your right side
4,25,7,Right-handed,Right leg in first,On your right side
8,25,7,Right-handed,Right leg in first,On your right side
5,36,7,Right-handed,Right leg in first,On your right side
9,5,7.5,Right-handed,Right leg in first,On your right side
4,6,7.5,Right-handed,Right leg in first,On your right side
8,15,7.5,Right-handed,Right leg in first,On your right side
1,1,8,Right-handed,Right leg in first,On your right side
5,1,8,Right-handed,Right leg in first,On your right side
3,2,8,Right-handed,Right leg in first,On your right side
8,2,8,Right-handed,Right leg in first,On your right side
2,3,8,Right-handed,Right leg in first,On your right side
4,3,8,Right-handed,Right leg in first,On your right side
7,3,8,Right-handed,Right leg in first,On your right side
9,3,8,Right-handed,Right leg in first,On your right side
4,4,8,Right-handed,Right leg in first,On your right side
5,4,8,Right-handed,Right leg in first,On your right side
4,5,8,Right-handed,Right leg in first,On your right side
4,5,8,Right-handed,Right leg in first,On your right side
4,5,8,Right-handed,Right leg in first,On your right side
5,5,8,Right-handed,Right leg in first,On your right side
6,5,8,Right-handed,Right leg in first,On your right side
6,5,8,Right-handed,Right leg in first,On your right side
6,5,8,Right-handed,Right leg in first,On your right side
7,5,8,Right-handed,Right leg in first,On your right side
8,5,8,Right-handed,Right leg in first,On your right side
8,5,8,Right-handed,Right leg in first,On your right side
8,5,8,Right-handed,Right leg in first,On your right side
4,6,8,Right-handed,Right leg in first,On your right side
5,6,8,Right-handed,Right leg in first,On your right side
6,6,8,Right-handed,Right leg in first,On your right side
8,6,8,Right-handed,Right leg in first,On your right side
6,7,8,Right-handed,Right leg in first,On your right side
7,7,8,Right-handed,Right leg in first,On your right side
9,7,8,Right-handed,Right leg in first,On your right side
4,8,8,Right-handed,Right leg in first,On your right side
7,8,8,Right-handed,Right leg in first,On your right side
8,8,8,Right-handed,Right leg in first,On your right side
8,8,8,Right-handed,Right leg in first,On your right side
6,10,8,Right-handed,Right leg in first,On your right side
6,10,8,Right-handed,Right leg in first,On your right side
7,10,8,Right-handed,Right leg in first,On your right side
7,10,8,Right-handed,Right leg in first,On your right side
7,10,8,Right-handed,Right leg in first,On your right side
7,10,8,Right-handed,Right leg in first,On your right side
8,10,8,Right-handed,Right leg in first,On your right side
8,10,8,Right-handed,Right leg in first,On your right side
8,10,8,Right-handed,Right leg in first,On your right side
8,10,8,Right-handed,Right leg in first,On your right side
8,10,8,Right-handed,Right leg in first,On your right side
9,10,8,Right-handed,Right leg in first,On your right side
9,10,8,Right-handed,Right leg in first,On your right side
8,12,8,Right-handed,Right leg in first,On your right side
7,15,8,Right-handed,Right leg in first,On your right side
9,15,8,Right-handed,Right leg in first,On your right side
5,20,8,Right-handed,Right leg in first,On your right side
8,20,8,Right-handed,Right leg in first,On your right side
7,50,8,Right-handed,Right leg in first,On your right side
3,3,8.5,Right-handed,Right leg in first,On your right side
6,12,8.5,Right-handed,Right leg in first,On your right side
7,2,9,Right-handed,Right leg in first,On your right side
3,3,9,Right-handed,Right leg in first,On your right side
5,5,9,Right-handed,Right leg in first,On your right side
5,8,9,Right-handed,Right leg in first,On your right side
6,10,9,Right-handed,Right leg in first,On your right side
6,10,9,Right-handed,Right leg in first,On your right side
7,10,9,Right-handed,Right leg in first,On your right side
9,10,9,Right-handed,Right leg in first,On your right side
5,3,10,Right-handed,Right leg in first,On your right side
8,2,6,Left-handed,I don't know,On your stomach
6,15,4,Right-handed,I don't know,On your stomach
4,4,6,Right-handed,I don't know,On your stomach
6,5,6,Right-handed,I don't know,On your stomach
5,6,6,Right-handed,I don't know,On your stomach
8,10,6,Right-handed,I don't know,On your stomach
8,10,6,Right-handed,I don't know,On your stomach
10,10,6,Right-handed,I don't know,On your stomach
6,15,6,Right-handed,I don't know,On your stomach
5,5,7,Right-handed,I don't know,On your stomach
8,5,7,Right-handed,I don't know,On your stomach
3,7,7,Right-handed,I don't know,On your stomach
4,8,7,Right-handed,I don't know,On your stomach
7,15,7,Right-handed,I don't know,On your stomach
8,15,7,Right-handed,I don't know,On your stomach
3,3,7.5,Right-handed,I don't know,On your stomach
7,5,7.5,Right-handed,I don't know,On your stomach
2,3,8,Right-handed,I don't know,On your stomach
4,3,8,Right-handed,I don't know,On your stomach
8,3,8,Right-handed,I don't know,On your stomach
8,5,8,Right-handed,I don't know,On your stomach
4,8,8,Right-handed,I don't know,On your stomach
5,8,8,Right-handed,I don't know,On your stomach
6,10,8,Right-handed,I don't know,On your stomach
5,15,8,Right-handed,I don't know,On your stomach
7,20,8,Right-handed,I don't know,On your stomach
2,4,9,Right-handed,I don't know,On your stomach
7,9,9,Right-handed,I don't know,On your stomach
8,20,6,Both,Left leg in first,On your stomach
10,9,5,Left-handed,Left leg in first,On your stomach
5,5,6,Left-handed,Left leg in first,On your stomach
8,20,7.5,Left-handed,Left leg in first,On your stomach
8,5,8,Left-handed,Left leg in first,On your stomach
9,5,8,Left-handed,Left leg in first,On your stomach
8,15,8,Left-handed,Left leg in first,On your stomach
6,7,4,Right-handed,Left leg in first,On your stomach
1,3,5,Right-handed,Left leg in first,On your stomach
8,5,5,Right-handed,Left leg in first,On your stomach
6,2,6,Right-handed,Left leg in first,On your stomach
3,3,6,Right-handed,Left leg in first,On your stomach
8,4,6,Right-handed,Left leg in first,On your stomach
5,5,6,Right-handed,Left leg in first,On your stomach
5,5,6,Right-handed,Left leg in first,On your stomach
8,5,6,Right-handed,Left leg in first,On your stomach
7,10,6,Right-handed,Left leg in first,On your stomach
5,60,6,Right-handed,Left leg in first,On your stomach
5,2,7,Right-handed,Left leg in first,On your stomach
8,2,7,Right-handed,Left leg in first,On your stomach
9,2,7,Right-handed,Left leg in first,On your stomach
2,3,7,Right-handed,Left leg in first,On your stomach
7,3,7,Right-handed,Left leg in first,On your stomach
4,5,7,Right-handed,Left leg in first,On your stomach
4,5,7,Right-handed,Left leg in first,On your stomach
9,5,7,Right-handed,Left leg in first,On your stomach
4,7,7,Right-handed,Left leg in first,On your stomach
7,7,7,Right-handed,Left leg in first,On your stomach
9,7,7,Right-handed,Left leg in first,On your stomach
3,8,7,Right-handed,Left leg in first,On your stomach
3,10,7,Right-handed,Left leg in first,On your stomach
5,10,7,Right-handed,Left leg in first,On your stomach
6,10,7,Right-handed,Left leg in first,On your stomach
8,13,7,Right-handed,Left leg in first,On your stomach
3,14,7,Right-handed,Left leg in first,On your stomach
7,15,7,Right-handed,Left leg in first,On your stomach
8,20,7,Right-handed,Left leg in first,On your stomach
8,20,7,Right-handed,Left leg in first,On your stomach
7,5,7.5,Right-handed,Left leg in first,On your stomach
8,6,7.5,Right-handed,Left leg in first,On your stomach
8,10,7.5,Right-handed,Left leg in first,On your stomach
6,2,8,Right-handed,Left leg in first,On your stomach
6,3,8,Right-handed,Left leg in first,On your stomach
6,3,8,Right-handed,Left leg in first,On your stomach
6,5,8,Right-handed,Left leg in first,On your stomach
4,6,8,Right-handed,Left leg in first,On your stomach
5,6,8,Right-handed,Left leg in first,On your stomach
10,6,8,Right-handed,Left leg in first,On your stomach
3,10,8,Right-handed,Left leg in first,On your stomach
7,10,8,Right-handed,Left leg in first,On your stomach
8,10,8,Right-handed,Left leg in first,On your stomach
8,20,8,Right-handed,Left leg in first,On your stomach
6,4,9,Right-handed,Left leg in first,On your stomach
8,4,9,Right-handed,Left leg in first,On your stomach
3,5,9,Right-handed,Left leg in first,On your stomach
7,5,9,Right-handed,Left leg in first,On your stomach
8,15,9,Right-handed,Left leg in first,On your stomach
8,25,9,Right-handed,Left leg in first,On your stomach
2,8,9.5,Right-handed,Left leg in first,On your stomach
4,5,10,Right-handed,Left leg in first,On your stomach
4,3,5,Left-handed,Right leg in first,On your stomach
4,2,6,Left-handed,Right leg in first,On your stomach
4,3,6,Left-handed,Right leg in first,On your stomach
8,12,6,Left-handed,Right leg in first,On your stomach
5,3,9,Left-handed,Right leg in first,On your stomach
1,3,3,Right-handed,Right leg in first,On your stomach
2,2,5,Right-handed,Right leg in first,On your stomach
6,3,5,Right-handed,Right leg in first,On your stomach
2,1,6,Right-handed,Right leg in first,On your stomach
4,2,6,Right-handed,Right leg in first,On your stomach
6,2,6,Right-handed,Right leg in first,On your stomach
6,2,6,Right-handed,Right leg in first,On your stomach
7,2,6,Right-handed,Right leg in first,On your stomach
3,3,6,Right-handed,Right leg in first,On your stomach
6,3,6,Right-handed,Right leg in first,On your stomach
7,3,6,Right-handed,Right leg in first,On your stomach
7,3,6,Right-handed,Right leg in first,On your stomach
3,4,6,Right-handed,Right leg in first,On your stomach
4,4,6,Right-handed,Right leg in first,On your stomach
5,4,6,Right-handed,Right leg in first,On your stomach
5,5,6,Right-handed,Right leg in first,On your stomach
6,5,6,Right-handed,Right leg in first,On your stomach
6,5,6,Right-handed,Right leg in first,On your stomach
7,5,6,Right-handed,Right leg in first,On your stomach
8,6,6,Right-handed,Right leg in first,On your stomach
5,7,6,Right-handed,Right leg in first,On your stomach
10,9,6,Right-handed,Right leg in first,On your stomach
8,15,6,Right-handed,Right leg in first,On your stomach
4,20,6,Right-handed,Right leg in first,On your stomach
8,20,6,Right-handed,Right leg in first,On your stomach
5,7,6.5,Right-handed,Right leg in first,On your stomach
4,1,7,Right-handed,Right leg in first,On your stomach
5,1,7,Right-handed,Right leg in first,On your stomach
6,1,7,Right-handed,Right leg in first,On your stomach
6,2,7,Right-handed,Right leg in first,On your stomach
6,2,7,Right-handed,Right leg in first,On your stomach
7,2,7,Right-handed,Right leg in first,On your stomach
7,2,7,Right-handed,Right leg in first,On your stomach
7,2,7,Right-handed,Right leg in first,On your stomach
2,3,7,Right-handed,Right leg in first,On your stomach
3,3,7,Right-handed,Right leg in first,On your stomach
4,3,7,Right-handed,Right leg in first,On your stomach
5,3,7,Right-handed,Right leg in first,On your stomach
6,3,7,Right-handed,Right leg in first,On your stomach
7,3,7,Right-handed,Right leg in first,On your stomach
7,3,7,Right-handed,Right leg in first,On your stomach
4,4,7,Right-handed,Right leg in first,On your stomach
4,4,7,Right-handed,Right leg in first,On your stomach
5,4,7,Right-handed,Right leg in first,On your stomach
5,4,7,Right-handed,Right leg in first,On your stomach
5,4,7,Right-handed,Right leg in first,On your stomach
6,4,7,Right-handed,Right leg in first,On your stomach
6,4,7,Right-handed,Right leg in first,On your stomach
7,4,7,Right-handed,Right leg in first,On your stomach
7,4,7,Right-handed,Right leg in first,On your stomach
3,5,7,Right-handed,Right leg in first,On your stomach
4,5,7,Right-handed,Right leg in first,On your stomach
6,5,7,Right-handed,Right leg in first,On your stomach
6,5,7,Right-handed,Right leg in first,On your stomach
7,5,7,Right-handed,Right leg in first,On your stomach
8,5,7,Right-handed,Right leg in first,On your stomach
3,6,7,Right-handed,Right leg in first,On your stomach
8,6,7,Right-handed,Right leg in first,On your stomach
7,7,7,Right-handed,Right leg in first,On your stomach
5,8,7,Right-handed,Right leg in first,On your stomach
7,8,7,Right-handed,Right leg in first,On your stomach
6,9,7,Right-handed,Right leg in first,On your stomach
6,10,7,Right-handed,Right leg in first,On your stomach
6,10,7,Right-handed,Right leg in first,On your stomach
7,10,7,Right-handed,Right leg in first,On your stomach
7,10,7,Right-handed,Right leg in first,On your stomach
8,10,7,Right-handed,Right leg in first,On your stomach
8,10,7,Right-handed,Right leg in first,On your stomach
8,10,7,Right-handed,Right leg in first,On your stomach
9,10,7,Right-handed,Right leg in first,On your stomach
3,12,7,Right-handed,Right leg in first,On your stomach
4,12,7,Right-handed,Right leg in first,On your stomach
5,15,7,Right-handed,Right leg in first,On your stomach
9,15,7,Right-handed,Right leg in first,On your stomach
7,16,7,Right-handed,Right leg in first,On your stomach
6,20,7,Right-handed,Right leg in first,On your stomach
9,30,7,Right-handed,Right leg in first,On your stomach
8,40,7,Right-handed,Right leg in first,On your stomach
8,3,7.5,Right-handed,Right leg in first,On your stomach
8,3,7.5,Right-handed,Right leg in first,On your stomach
6,15,7.5,Right-handed,Right leg in first,On your stomach
2,1,8,Right-handed,Right leg in first,On your stomach
4,1,8,Right-handed,Right leg in first,On your stomach
5,2,8,Right-handed,Right leg in first,On your stomach
3,3,8,Right-handed,Right leg in first,On your stomach
7,3,8,Right-handed,Right leg in first,On your stomach
8,3,8,Right-handed,Right leg in first,On your stomach
7,4,8,Right-handed,Right leg in first,On your stomach
1,5,8,Right-handed,Right leg in first,On your stomach
3,5,8,Right-handed,Right leg in first,On your stomach
6,5,8,Right-handed,Right leg in first,On your stomach
6,5,8,Right-handed,Right leg in first,On your stomach
6,5,8,Right-handed,Right leg in first,On your stomach
7,5,8,Right-handed,Right leg in first,On your stomach
4,6,8,Right-handed,Right leg in first,On your stomach
7,6,8,Right-handed,Right leg in first,On your stomach
7,6,8,Right-handed,Right leg in first,On your stomach
8,6,8,Right-handed,Right leg in first,On your stomach
8,6,8,Right-handed,Right leg in first,On your stomach
7,7,8,Right-handed,Right leg in first,On your stomach
7,7,8,Right-handed,Right leg in first,On your stomach
5,8,8,Right-handed,Right leg in first,On your stomach
8,9,8,Right-handed,Right leg in first,On your stomach
7,10,8,Right-handed,Right leg in first,On your stomach
9,10,8,Right-handed,Right leg in first,On your stomach
5,12,8,Right-handed,Right leg in first,On your stomach
5,15,8,Right-handed,Right leg in first,On your stomach
7,15,8,Right-handed,Right leg in first,On your stomach
8,30,8,Right-handed,Right leg in first,On your stomach
3,4,8.5,Right-handed,Right leg in first,On your stomach
8,5,8.5,Right-handed,Right leg in first,On your stomach
5,7,8.5,Right-handed,Right leg in first,On your stomach
6,4,9,Right-handed,Right leg in first,On your stomach
3,5,9,Right-handed,Right leg in first,On your stomach
5,5,9,Right-handed,Right leg in first,On your stomach
8,5,9,Right-handed,Right leg in first,On your stomach
5,8,9,Right-handed,Right leg in first,On your stomach
8,10,9,Right-handed,Right leg in first,On your stomach
8,25,9,Right-handed,Right leg in first,On your stomach